Tactic,Technique ID,Technique Name,Relevance to ofi Food Manufacturing,ofi-Specific Assets at Risk,Recommended Mitigations (IEC 62443 Aligned)
Initial Access,T0886,Remote Services,HIGH - Remote access to SCADA/HMI systems at 120+ plants globally,"AWS/Azure cloud infrastructure, Nutanix hybrid cloud, VPN gateways","Implement MFA, segment OT networks (IEC 62443-3-3), monitor remote access"
Initial Access,T0817,Drive-by Compromise,MEDIUM - Watering hole attacks targeting food industry suppliers,"Supplier portals, farmer engagement platforms (Olam Direct)","Security awareness training, email filtering, web content inspection"
Initial Access,T0822,External Remote Services,HIGH - VPN/Remote desktop for distributed manufacturing operations,"Remote monitoring systems for 120+ plants, AtSource platform","Zero trust architecture, privileged access management, session monitoring"
Execution,T0871,Execution through API,"HIGH - SAP, Salesforce, and custom APIs across IT/OT boundary","SAP S/4HANA APIs, Salesforce integrations, Braincube analytics","API security gateways, least privilege access, input validation"
Execution,T0873,Project File Infection,HIGH - Engineering workstation projects in food processing lines,Engineering workstations at processing plants,"Code signing, project file integrity checks, change management"
Persistence,T0839,Module Firmware,"MEDIUM - PLC/DCS firmware in cocoa, dairy, spice processing","PLCs controlling cocoa roasters, dairy pasteurizers, spice mills","Firmware verification, secure boot, hardware root of trust"
Persistence,T0859,Valid Accounts,"HIGH - Compromised credentials across global operations (2.8M farmers, 87K employees)","Active Directory, SAP user accounts, OT operator credentials","Strong password policies, regular credential rotation, privileged access management"
Evasion,T0849,Masquerading,MEDIUM - Malware disguised as legitimate ICS tools,"ICS maintenance tools, firmware update utilities","Application whitelisting, code signing, endpoint detection"
Evasion,T0872,Indicator Removal on Host,"HIGH - Covering tracks in IT/OT environments, log tampering","SIEM logs, OT monitoring data, audit trails","Centralized logging, log forwarding to SIEM, tamper-proof log storage"
Discovery,T0840,Network Connection Enumeration,"HIGH - Scanning Nutanix, AWS, Azure networks across 51 countries","Global network spanning 51 countries, Mindsprint infrastructure","Network segmentation, IDS/IPS, anomaly detection"
Discovery,T0846,Remote System Discovery,"HIGH - Discovery of PLCs, HMIs, RTUs in processing facilities","PLCs, SCADA servers, HMIs across food processing operations","Asset inventory management, network access control, microsegmentation"
Discovery,T0888,Remote System Information Discovery,HIGH - Asset inventory enumeration of ICS components,"ICS inventory in dairy (NZ), cocoa (Ghana, UK), spice facilities","Passive asset discovery tools, configuration management database"
Lateral Movement,T0866,Exploitation of Remote Services,HIGH - Exploiting weaknesses in OT network segmentation,"Jump boxes, bastion hosts between IT/OT zones","Network segmentation with DMZ, least privilege, jump box hardening"
Lateral Movement,T0867,Lateral Tool Transfer,HIGH - Moving tools between IT and OT zones,"Lateral movement tools, remote access utilities","Application control, USB device restrictions, file integrity monitoring"
Collection,T0802,Automated Collection,"HIGH - Automated extraction of production data, recipes, formulations","Production formulas, quality data, supply chain intelligence","Data loss prevention, encryption at rest/transit, access logging"
Collection,T0861,Point & Tag Identification,HIGH - Identifying critical process variables for tampering,"Process tags for temperature, pH, pressure in food processing","Network monitoring, baseline behavior analysis, anomaly detection"
Command and Control,T0885,Commonly Used Port,MEDIUM - C2 over standard ports to evade detection,Firewall rules allowing standard ports through IT/OT boundary,"Port/protocol restrictions, deep packet inspection, application firewalls"
Command and Control,T0869,Standard Application Layer Protocol,MEDIUM - Using HTTP/HTTPS for covert channels,"Web-based HMIs, HTTPS-based SCADA communications","SSL/TLS inspection, protocol whitelisting, encrypted traffic analysis"
Inhibit Response Function,T0800,Activate Firmware Update Mode,CRITICAL - Disrupting PLC operations during production runs,PLCs in production mode during active batches,"Change management controls, dual approval for firmware updates"
Inhibit Response Function,T0809,Data Destruction,CRITICAL - Ransomware destroying production data/recipes,"Recipe databases, quality control systems, traceability data","Backup and recovery, immutable backups, offline storage"
Inhibit Response Function,T0816,Device Restart/Shutdown,CRITICAL - Forcing unplanned shutdowns causing food safety issues,Critical processing equipment requiring controlled shutdowns,"Graceful shutdown procedures, fault-tolerant designs, redundancy"
Impair Process Control,T0836,Modify Parameter,"CRITICAL - Altering temperature/pressure in dairy, cocoa processing","Temperature controls (dairy pasteurization), roasting profiles (cocoa)","Parameter change logging, range validation, operator confirmation"
Impair Process Control,T0855,Unauthorized Command Message,CRITICAL - Sending unauthorized commands to processing equipment,"Override commands to packaging lines, processing equipment","Command authentication, message integrity checks, digital signatures"
Impair Process Control,T0831,Manipulation of Control,"CRITICAL - Tampering with quality control parameters, food safety","Quality sensors, food safety monitoring systems (FSSC 22000)","Quality system validation, sensor calibration, independent verification"
Impact,T0826,Loss of Availability,CRITICAL - Production downtime across 120+ facilities,"All 120+ processing facilities, customer delivery commitments","Business continuity planning, redundant systems, failover capabilities"
Impact,T0828,Loss of Productivity and Revenue,CRITICAL - Revenue impact from halted cocoa/dairy/spice production,"Customer contracts (8-11K customers), farmer payments, brand reputation","Cyber insurance, incident response plan, crisis management"
