Incident,Ransom Paid,Production Downtime,Daily Production Loss (ofi estimates),Cumulative 7-Day Loss,Customer Impact,Regulatory/Compliance Impact,Brand & Stock Impact,Cyber Insurance Impact,Recovery Time (Industry Data),Probability of ofi Being Targeted
JBS Ransomware (2021),$11M,24-48 hours (11% global capacity),$160M (11% of JBS $1.5B daily),$800M+ (est),"Nestlé, Pepsi, Burger King, Taco Bell unable to source meat","FDA investigation, food safety questions","JBS stock dropped 5% initially, recovered over months",JBS had cyber insurance but claim disputes,"3-4 weeks (backup/restore, validation)",N/A
JBS Ransomware (2021),$11M,24-48 hours (11% global capacity),$160M,$800M+,Global supply chain disruptions,Operational technology security scrutiny,Brand reputation damage (confidence in supply),Costs: ransom ($11M) + recovery ($200M+) not fully covered,3-4 weeks,N/A
JBS Ransomware (2021),$11M,24-48 hours (11% global capacity),$160M,$800M+,Retail meat shortages in US,USDA reporting requirements,Insurance implications and premiums,Premiums increased 50-100% post-incident,3-4 weeks,N/A
Colonial Pipeline (2021),$4.4M,7 days (100% US East Coast),$20M (pipeline impact),$140M+,Gas shortage on US East Coast,FERC investigation into incident,Colonial Pipeline blamed for poor security,Colonial Pipeline had no cyber insurance,2-3 weeks (pipeline simpler than mfg),N/A
Meat Processing (Industry Avg),$1-5M avg,3-7 days typical,$50-200M varies,"$350-1,400M+",Varies by customer concentration,Varies by jurisdiction,Food companies risk brand erosion,Insurance gaps expose organizations,2-4 weeks typical,Food manufacturing = HIGH-INTEREST TARGET
ofi WORST CASE (Day 1),$10-20M (estimated),All 120 plants halted (100%),$240M (120 × $2M/facility),$900M (worst case),ALL 8-11K customers affected immediately,FSSC 22000 certification at risk (120 plants),IPO DELAYED or CANCELLED,Claim: $200-300M (likely capped at $50-100M),"4-8 weeks (120 plants, complex interdependencies)",10-15% annual probability (ransomware gangs target food)
ofi WORST CASE (Day 2-3),$10-20M (same demand),50% still offline (backup recovery slow),$120M (60 × $2M/facility),$900M (includes ransom),"Large customers (Nestlé, Hershey's, Kellogg's) severely impacted",EU customer contracts could be breached,Stock price could drop 10-20% (ofi pre-IPO),Policy cancellation if found negligent,Validation: additional 2-4 weeks,"If not hit in 2026, odds increase each year"
ofi WORST CASE (Week 1),$10-20M (same demand),20% still offline (recovery ongoing),$40M (20 × $2M/facility),$900M total,Supply chain cascades—their customers affected,EUDR compliance disrupted (cocoa/coffee supply),Major customers may switch suppliers,Coverage denial possible (IEC 62443 gap),Full confidence restored: 8-12 weeks,Cumulative 5-year risk: 40-50%
ofi REALISTIC (Day 1),$5-10M (negotiated),80 of 120 plants (67%),$90M (67% × $1.35M avg),$300-400M (realistic),80% of customers lose supply within 24 hours,FSSC 22000 warning notices at affected plants,IPO valuation hit 5-10% ($1-2B impact),Claim: $100-150M (likely approved ~$50M),2-3 weeks (most plants recovered),5-10% annual probability
ofi REALISTIC (Week 1),$5-10M (same),15 of 120 plants (12%),$10M (12% × $0.8M recovery),$300-400M total,Most customers sourcing alternatives by day 3,Potential certification suspension (certain regions),Customer confidence shaken (recovery to norm: 3-6 months),Premiums increase 30-50% in post-claim period,Confidence returns to normal: 4-6 weeks,5-10% per year = material risk
ofi CONSERVATIVE (Day 1),$2-5M (negotiated),30 of 120 plants (25%),$30M (25% × $1.2M blended),$100-150M (conservative),50% of customers find alternatives by day 1,Audit findings for affected facilities,IPO proceeds may reduce but likely proceeds,Claim: $50-100M (strong chance of approval),1-2 weeks (rapid RTO with backups),2-5% annual probability
ofi CONSERVATIVE (Week 1),$2-5M (same),5 of 120 plants (4%),$2M (4% × $0.5M tail),$100-150M total,Most sourcing alternatives by end of week,Likely pass audits post-recovery,Minimal long-term impact (quick recovery narrative),Premiums increase 20-30% (manageable),Confidence returns: 2-3 weeks,2-5% per year = baseline sector risk
